Title,Genre,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Man on Fire,Action,0,0,0,0,0,0,0,0,0,60293714,60293714
AVP: Alien vs. Predator,Adventure,0,0,0,0,0,0,0,0,0,101183863,101183863
Sky Captain and the World of Tomorrow,Mystery,0,0,0,0,0,0,0,0,0,-12041304,-12041304
The Phantom of the Opera,Music,0,0,0,0,0,0,0,0,0,84648887,84648887
Hitch,Comedy,0,0,0,0,0,0,0,0,0,0,298100420
Munich,Drama,0,0,0,0,0,0,0,0,0,0,60358911
Rumor Has It...,Comedy,0,0,0,0,0,0,0,0,0,0,18933562
The Saint,Thriller,0,0,50063304,50063304,50063304,50063304,50063304,50063304,50063304,50063304,50063304
Mystery Men,Adventure,0,0,0,0,-38237989,-38237989,-38237989,-38237989,-38237989,-38237989,-38237989
Enemy at the Gates,War,0,0,0,0,0,0,28976270,28976270,28976270,28976270,28976270
The Score,Action,0,0,0,0,0,0,3069884,3069884,3069884,3069884,3069884
Vanilla Sky,Drama,0,0,0,0,0,0,135388341,135388341,135388341,135388341,135388341
The Sum of All Fears,Thriller,0,0,0,0,0,0,0,125000000,125000000,125000000,125000000
Dreamcatcher,Drama,0,0,0,0,0,0,0,0,7715436,7715436,7715436
Last Man Standing,Action,0,-19732999,-19732999,-19732999,-19732999,-19732999,-19732999,-19732999,-19732999,-19732999,-19732999
The X Files,Mystery,0,0,0,123198313,123198313,123198313,123198313,123198313,123198313,123198313,123198313
Entrapment,Romance,0,0,0,0,146404396,146404396,146404396,146404396,146404396,146404396,146404396
Hellboy,Fantasy,0,0,0,0,0,0,0,0,0,33318987,33318987
Jumanji,Adventure,197797249,197797249,197797249,197797249,197797249,197797249,197797249,197797249,197797249,197797249,197797249
The Long Kiss Goodnight,Crime,0,24456761,24456761,24456761,24456761,24456761,24456761,24456761,24456761,24456761,24456761
I Still Know What You Did Last Summer,Horror,0,0,0,-24997888,-24997888,-24997888,-24997888,-24997888,-24997888,-24997888,-24997888
You've Got Mail,Comedy,0,0,0,185821495,185821495,185821495,185821495,185821495,185821495,185821495,185821495
My Favorite Martian,Comedy,0,0,0,0,-28149899,-28149899,-28149899,-28149899,-28149899,-28149899,-28149899
Eyes Wide Shut,Mystery,0,0,0,0,97091208,97091208,97091208,97091208,97091208,97091208,97091208
Blue Streak,Action,0,0,0,0,52758500,52758500,52758500,52758500,52758500,52758500,52758500
The Kid,Fantasy,0,0,0,0,0,4700000,4700000,4700000,4700000,4700000,4700000
Space Cowboys,Action,0,0,0,0,0,63884132,63884132,63884132,63884132,63884132,63884132
A Knight's Tale,Adventure,0,0,0,0,0,0,52487473,52487473,52487473,52487473,52487473
The Santa Clause 2,Fantasy,0,0,0,0,0,0,0,107855065,107855065,107855065,107855065
Collateral,Drama,0,0,0,0,0,0,0,0,0,152764291,152764291
Blade: Trinity,Science Fiction,0,0,0,0,0,0,0,0,0,63905366,63905366
Zathura: A Space Adventure,Family,0,0,0,0,0,0,0,0,0,0,-678499
Random Hearts,Drama,0,0,0,0,10608570,10608570,10608570,10608570,10608570,10608570,10608570
Get Carter,Action,0,0,0,0,0,-44187007,-44187007,-44187007,-44187007,-44187007,-44187007
The Matrix,Action,0,0,0,0,400517383,400517383,400517383,400517383,400517383,400517383,400517383
