Country,Longitude,Latitude,World Bank region,Population (2019),Unnamed: 5,Unnamed: 6,Unnamed: 7,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
El Salvador,-89.2073,13.7034,Latin America & the Caribbean,6453553.0,,,,LATIN AMER. & CARIB   ,6822378.0,21040.0,324.3,1.46,-3.74,25.1,4800.0,80.2,142.4,31.85,12.07,56.08,2.0,26.61,5.78,99.0,302.0,599.0
Thailand,100.521,13.7308,East Asia and Pacific,69625582.0,,,,ASIA (EX. NEAR EAST),64631595.0,514000.0,125.7,0.63,0.0,20.48,7400.0,92.6,108.9,29.36,6.46,64.18,2.0,13.87,7.04,99.0,441.0,0.46
St. Lucia,-60.9832,14.0,Latin America & the Caribbean,182790.0,,,,,,,,,,,,,,,,,,,,,,
Philippines,121.035,14.5515,East Asia and Pacific,108116615.0,,,,ASIA (EX. NEAR EAST),89468677.0,300000.0,298.2,12.1,-1.5,23.51,4600.0,92.6,38.4,18.95,16.77,64.28,2.0,24.89,5.41,144.0,326.0,0.53
Guatemala,-90.5328,14.6248,Latin America & the Caribbean,16604026.0,,,,LATIN AMER. & CARIB   ,12293545.0,108890.0,112.9,0.37,-1.67,35.93,4100.0,70.6,92.1,12.54,5.03,82.43,2.0,29.88,5.2,227.0,188.0,585.0
Senegal,-17.4734,14.7247,Sub-Saharan Africa,16296364.0,,,,SUB-SAHARAN AFRICA        ,11987121.0,196190.0,61.1,0.27,0.2,55.51,1600.0,40.2,22.2,12.78,0.21,87.01,2.0,32.78,9.42,172.0,209.0,619.0
Cabo Verde,-23.5087,14.9218,Sub-Saharan Africa,549935.0,,,,,,,,,,,,,,,,,,,,,,
Honduras,-87.4667,15.1333,Latin America & the Caribbean,9746117.0,,,,LATIN AMER. & CARIB   ,7326496.0,112090.0,65.4,0.73,-1.99,29.32,2600.0,76.2,67.5,9.55,3.22,87.23,2.0,28.24,5.28,139.0,312.0,549.0
Northern Mariana Islands,145.765,15.1935,Other,57216.0,,,,,,,,,,,,,,,,,,,,,,
Dominica,-61.39,15.2976,Latin America & the Caribbean,71808.0,,,,LATIN AMER. & CARIB   ,68910.0,754.0,91.4,19.63,-13.87,14.15,5400.0,94.0,304.8,6.67,20.0,73.33,2.0,15.27,6.73,177.0,328.0,495.0
Eritrea,38.9183,15.3315,Sub-Saharan Africa,,,,,SUB-SAHARAN AFRICA        ,4786994.0,121320.0,39.5,1.84,0.0,74.87,700.0,58.6,7.9,4.95,0.03,95.02,1.5,34.33,9.6,102.0,254.0,643.0
"Yemen, Rep.",44.2075,15.352,Middle East and North Africa,29161922.0,,,,,,,,,,,,,,,,,,,,,,
Sudan,32.5363,15.5932,Sub-Saharan Africa,42813238.0,,,,SUB-SAHARAN AFRICA        ,41236378.0,2505810.0,16.5,0.03,-0.02,62.5,1900.0,61.1,16.3,6.83,0.18,92.99,2.0,34.53,8.97,387.0,203.0,0.41
Antigua and Barbuda,-61.8456,17.1175,Latin America & the Caribbean,97118.0,,,,,,,,,,,,,,,,,,,,,,
